Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,Ticker
02/01/2019,38.72249985,39.71250153,38.55749893,39.47999954,37.79378128,148158800,,,,,AAPL
03/01/2019,35.99499893,36.43000031,35.5,35.54750061,34.02923965,365248800,,,,,AAPL
04/01/2019,36.13249969,37.13750076,35.95000076,37.06499863,35.48192596,234428400,,,,,AAPL
07/01/2019,37.17499924,37.20750046,36.47499847,36.98249817,35.40294647,219111200,,,,,AAPL
08/01/2019,37.38999939,37.95500183,37.13000107,37.6875,36.0778389,164101200,,,,,AAPL
09/01/2019,37.82249832,38.63249969,37.40750122,38.32749939,36.6905098,180396400,,,,,AAPL
10/01/2019,38.125,38.49250031,37.71500015,38.45000076,36.80776596,143122800,,,,,AAPL
11/01/2019,38.22000122,38.42499924,37.87749863,38.07249832,36.44639587,108092800,,,,,AAPL
14/01/2019,37.71250153,37.81750107,37.30500031,37.5,35.89834976,129756800,,,,,AAPL
15/01/2019,37.56750107,38.34749985,37.51250076,38.26750183,36.63306808,114843600,,,,,AAPL
16/01/2019,38.27000046,38.97000122,38.25,38.73500061,37.08060074,122278800,,,,,AAPL
17/01/2019,38.54999924,39.41500092,38.31499863,38.96500015,37.30076981,119284800,,,,,AAPL
18/01/2019,39.375,39.47000122,38.99499893,39.20500183,37.53052902,135004000,,,,,AAPL
22/01/2019,39.10250092,39.18249893,38.15499878,38.32500076,36.68811798,121576000,,,,,AAPL
23/01/2019,38.53749847,38.78499985,37.92499924,38.47999954,36.83649063,92522400,48.54457805,,,,AAPL
24/01/2019,38.52750015,38.61999893,37.93500137,38.17499924,36.54451752,101766000,45.91067131,,,,AAPL
25/01/2019,38.86999893,39.53250122,38.58000183,39.43999863,37.75548172,134142000,56.46191614,,,,AAPL
28/01/2019,38.94749832,39.08250046,38.41500092,39.07500076,37.40607834,104768400,53.23509542,,,,AAPL
29/01/2019,39.0625,39.53250122,38.52750015,38.66999817,37.01836395,166348800,49.83195907,,,,AAPL
30/01/2019,40.8125,41.53749847,40.05749893,41.3125,39.54801178,244439200,65.38184992,,,,AAPL
31/01/2019,41.52750015,42.25,41.13999939,41.61000061,39.832798,162958400,66.63568291,,,,AAPL
01/02/2019,41.74000168,42.24499893,41.48249817,41.63000107,39.85195923,130672400,66.72294337,,,,AAPL
04/02/2019,41.85250092,42.91500092,41.81999969,42.8125,40.98394394,125982000,71.47335703,,,,AAPL
05/02/2019,43.21500015,43.77000046,43.08750153,43.54499817,41.68515015,144406400,73.9537589,,,,AAPL
06/02/2019,43.66249847,43.89250183,43.21250153,43.56000137,41.69952011,112958400,74.00361823,,,,AAPL
07/02/2019,43.09999847,43.48500061,42.58499908,42.73500061,40.90975571,126966800,66.46877718,2.016478252,,,AAPL
08/02/2019,42.24750137,42.66500092,42.10499954,42.60250092,40.95783234,95280000,65.31849986,1.964006768,,,AAPL
11/02/2019,42.76250076,42.80250168,42.3125,42.35749817,40.72228241,83973600,63.14255554,1.880970409,,,AAPL
12/02/2019,42.52500153,42.75,42.42499924,42.72249985,41.0731926,89134000,65.01251787,1.823594815,,,AAPL
13/02/2019,42.84749985,43.11999893,42.47999954,42.54499817,40.90254593,89960800,63.32981233,1.743701041,,,AAPL
14/02/2019,42.42750168,42.81499863,42.34500122,42.70000076,41.05156708,87342800,64.2011792,1.673599846,,,AAPL
15/02/2019,42.8125,42.92499924,42.4375,42.60499954,40.96022797,98507200,63.2097833,1.59202645,,,AAPL
