Date,Stock,Open,High,Low,Close,Adj Close,Volume
02/01/2019,AAPL,38.72249985,39.71250153,38.55749893,39.47999954,37.79378128,148158800
03/01/2019,AAPL,35.99499893,36.43000031,35.5,35.54750061,34.02923965,365248800
04/01/2019,AAPL,36.13249969,37.13750076,35.95000076,37.06499863,35.48192596,234428400
07/01/2019,AAPL,37.17499924,37.20750046,36.47499847,36.98249817,35.40295029,219111200
08/01/2019,AAPL,37.38999939,37.95500183,37.13000107,37.6875,36.07783508,164101200
09/01/2019,AAPL,37.82249832,38.63249969,37.40750122,38.32749939,36.69049454,180396400
10/01/2019,AAPL,38.125,38.49250031,37.71500015,38.45000076,36.80776978,143122800
11/01/2019,AAPL,38.22000122,38.42499924,37.87749863,38.07249832,36.44639206,108092800
14/01/2019,AAPL,37.71250153,37.81750107,37.30500031,37.5,35.89834976,129756800
15/01/2019,AAPL,37.56750107,38.34749985,37.51250076,38.26750183,36.6330719,114843600
16/01/2019,AAPL,38.27000046,38.97000122,38.25,38.73500061,37.08060074,122278800
17/01/2019,AAPL,38.54999924,39.41500092,38.31499863,38.96500015,37.30077744,119284800
18/01/2019,AAPL,39.375,39.47000122,38.99499893,39.20500183,37.53053284,135004000
22/01/2019,AAPL,39.10250092,39.18249893,38.15499878,38.32500076,36.68811035,121576000
23/01/2019,AAPL,38.53749847,38.78499985,37.92499924,38.47999954,36.83649826,92522400
24/01/2019,AAPL,38.52750015,38.61999893,37.93500137,38.17499924,36.54452133,101766000
25/01/2019,AAPL,38.86999893,39.53250122,38.58000183,39.43999863,37.75548935,134142000
28/01/2019,AAPL,38.94749832,39.08250046,38.41500092,39.07500076,37.40606689,104768400
29/01/2019,AAPL,39.0625,39.53250122,38.52750015,38.66999817,37.01837921,166348800
30/01/2019,AAPL,40.8125,41.53749847,40.05749893,41.3125,39.54800415,244439200
31/01/2019,AAPL,41.52750015,42.25,41.13999939,41.61000061,39.83280563,162958400
01/02/2019,AAPL,41.74000168,42.24499893,41.48249817,41.63000107,39.85194778,130672400
04/02/2019,AAPL,41.85250092,42.91500092,41.81999969,42.8125,40.98394012,125982000
05/02/2019,AAPL,43.21500015,43.77000046,43.08750153,43.54499817,41.68515778,144406400
06/02/2019,AAPL,43.66249847,43.89250183,43.21250153,43.56000137,41.69952011,112958400
07/02/2019,AAPL,43.09999847,43.48500061,42.58499908,42.73500061,40.90975952,126966800
08/02/2019,AAPL,42.24750137,42.66500092,42.10499954,42.60250092,40.95782089,95280000
11/02/2019,AAPL,42.76250076,42.80250168,42.3125,42.35749817,40.72228241,83973600
12/02/2019,AAPL,42.52500153,42.75,42.42499924,42.72249985,41.07320023,89134000
13/02/2019,AAPL,42.84749985,43.11999893,42.47999954,42.54499817,40.90254974,89960800
14/02/2019,AAPL,42.42750168,42.81499863,42.34500122,42.70000076,41.05155563,87342800
