Date,Open,High,Low,Close,Adj Close,Volume,RSI,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,BBL_20_2.0,BBM_20_2.0,BBU_20_2.0,BBB_20_2.0,BBP_20_2.0,MA,Ticker
02/01/2024,187.1499939,188.4400024,183.8899994,185.6399994,185.1522827,82488700,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
03/01/2024,184.2200012,185.8800049,183.4299927,184.25,183.7659454,58414500,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
04/01/2024,182.1499939,183.0899963,180.8800049,181.9100037,181.4320984,71983600,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
05/01/2024,181.9900055,182.7599945,180.1699982,181.1799927,180.7039948,62303300,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
08/01/2024,182.0899963,185.6000061,181.5,185.5599976,185.0724945,59144500,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
09/01/2024,183.9199982,185.1499939,182.7299957,185.1399994,184.653595,42841800,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
10/01/2024,184.3500061,186.3999939,183.9199982,186.1900024,185.7008362,46792900,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
11/01/2024,186.5399933,187.0500031,183.6199951,185.5899963,185.102417,49128400,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
12/01/2024,186.0599976,186.7400055,185.1900024,185.9199982,185.4315491,40444700,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
16/01/2024,182.1600037,184.2599945,180.9299927,183.6300049,183.1475677,65603000,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
17/01/2024,181.2700043,182.9299927,180.3000031,182.6799927,182.200058,47317400,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
18/01/2024,186.0899963,189.1399994,185.8300018,188.6300049,188.1344452,78005800,74.45096561,0.877486997,-1.10685076,0.142732654,179.0471888,187.8904984,196.7338079,9.413258913,0.508452431,187.8904984,AAPL
